Approach,Recall,Precision
IR-ONLY-VSM,0.95,0.0000
IR-ONLY-VSM,1.00,0.0000
TRIAD-VSM,0.05,0.0000
TRIAD-VSM,0.10,0.0000
TRIAD-VSM,0.15,0.0000
TRIAD-VSM,0.20,0.0000
TRIAD-VSM,0.25,0.0000
TRIAD-VSM,0.30,0.0000
TRIAD-VSM,0.35,0.0000
TRIAD-VSM,0.40,0.0000
TRIAD-VSM,0.45,0.0000
TRIAD-VSM,0.50,0.0000
TRIAD-VSM,0.55,0.0000
TRIAD-VSM,0.60,0.0000
TRIAD-VSM,0.65,0.0000
TRIAD-VSM,0.70,0.0000
TRIAD-VSM,0.75,0.0000
TRIAD-VSM,0.80,0.0000
TRIAD-VSM,0.85,0.0000
TRIAD-VSM,0.90,0.0000
TRIAD-VSM,0.95,0.0000
TRIAD-VSM,1.00,0.0000
IR-ONLY-LSI,0.05,0.0000
IR-ONLY-LSI,0.10,0.0000
IR-ONLY-LSI,0.15,0.0000
IR-ONLY-LSI,0.20,0.0000
IR-ONLY-LSI,0.25,0.0000
IR-ONLY-LSI,0.30,0.0000
IR-ONLY-LSI,0.35,0.0000
IR-ONLY-LSI,0.40,0.0000
IR-ONLY-LSI,0.45,0.0000
IR-ONLY-LSI,0.50,0.0000
IR-ONLY-LSI,0.55,0.0000
IR-ONLY-LSI,0.60,0.0000
IR-ONLY-LSI,0.65,0.0000
IR-ONLY-LSI,0.70,0.0000
IR-ONLY-LSI,0.75,0.0000
IR-ONLY-LSI,0.80,0.0000
IR-ONLY-LSI,0.85,0.0000
IR-ONLY-LSI,0.90,0.0000
IR-ONLY-LSI,0.95,0.0000
IR-ONLY-LSI,1.00,0.0000
TRIAD-LSI,0.05,0.0000
TRIAD-LSI,0.10,0.0000
TRIAD-LSI,0.15,0.0000
TRIAD-LSI,0.20,0.0000
TRIAD-LSI,0.25,0.0000
TRIAD-LSI,0.30,0.0000
TRIAD-LSI,0.35,0.0000
TRIAD-LSI,0.40,0.0000
TRIAD-LSI,0.45,0.0000
TRIAD-LSI,0.50,0.0000
TRIAD-LSI,0.55,0.0000
TRIAD-LSI,0.60,0.0000
TRIAD-LSI,0.65,0.0000
TRIAD-LSI,0.70,0.0000
TRIAD-LSI,0.75,0.0000
TRIAD-LSI,0.80,0.0000
TRIAD-LSI,0.85,0.0000
TRIAD-LSI,0.90,0.0000
TRIAD-LSI,0.95,0.0000
TRIAD-LSI,1.00,0.0000
IR-ONLY-JSD,0.05,0.0000
IR-ONLY-JSD,0.10,0.0000
IR-ONLY-JSD,0.15,0.0000
IR-ONLY-JSD,0.20,0.0000
IR-ONLY-JSD,0.25,0.0000
IR-ONLY-JSD,0.30,0.0000
IR-ONLY-JSD,0.35,0.0000
IR-ONLY-JSD,0.40,0.0000
IR-ONLY-JSD,0.45,0.0000
IR-ONLY-JSD,0.50,0.0000
IR-ONLY-JSD,0.55,0.0000
IR-ONLY-JSD,0.60,0.0000
IR-ONLY-JSD,0.65,0.0000
IR-ONLY-JSD,0.70,0.0000
IR-ONLY-JSD,0.75,0.0000
IR-ONLY-JSD,0.80,0.0000
IR-ONLY-JSD,0.85,0.0000
IR-ONLY-JSD,0.90,0.0000
IR-ONLY-JSD,0.95,0.0000
IR-ONLY-JSD,1.00,0.0000
TRIAD-JSD,0.05,0.0000
TRIAD-JSD,0.10,0.0000
TRIAD-JSD,0.15,0.0000
TRIAD-JSD,0.20,0.0000
TRIAD-JSD,0.25,0.0000
TRIAD-JSD,0.30,0.0000
TRIAD-JSD,0.35,0.0000
TRIAD-JSD,0.40,0.0000
TRIAD-JSD,0.45,0.0000
TRIAD-JSD,0.50,0.0000
TRIAD-JSD,0.55,0.0000
TRIAD-JSD,0.60,0.0000
TRIAD-JSD,0.65,0.0000
TRIAD-JSD,0.70,0.0000
TRIAD-JSD,0.75,0.0000
TRIAD-JSD,0.80,0.0000
TRIAD-JSD,0.85,0.0000
TRIAD-JSD,0.90,0.0000
TRIAD-JSD,0.95,0.0000
TRIAD-JSD,1.00,0.0000
